bernoulli,binomial,poisson,normal,exponential,uniform
1,4,3,-0.01222758521992526,1.3220128080016695,0.12749972667198572
0,5,4,1.5873276541102175,2.0500923778859024,0.0930303747408957
0,7,1,0.9572338077486858,0.21391332182344808,0.589267338756667
1,6,2,-0.5828867213760348,0.10271818805457007,0.5321179724587827
1,6,4,0.38934239421973693,2.280782568708252,0.26637764143002385
1,6,4,0.8262494226728235,0.4306221038655853,0.8994530845538352
1,6,5,0.08595738801721546,0.8014395246358925,0.9273664094615535
0,7,5,-0.5871541590312039,0.4455735206011498,0.40261143834016266
0,4,1,-0.5321724562434457,0.13444876910974438,0.8903025571135202
0,5,4,0.38547307045695217,0.8899693122366489,0.38394889426297263
1,4,3,0.41298056552504697,0.7447370489625473,0.7368168318297001
0,8,3,-0.2929546157635447,0.22689251890863743,0.47594221754772414
0,7,6,-2.6191522050533393,0.6012410509701797,0.12258315650718299
1,2,3,-1.2905227272912905,1.5942907324636526,0.9279342012370215
1,6,3,0.6196889216121123,0.8926379355783232,0.4540965933775366
1,7,2,-2.1308379973558758,0.10194117612026533,0.7344870403224036
1,4,6,1.1841810163672148,0.7941206605223793,0.36717381443129216
1,5,4,1.036157261138504,1.2131423809886033,0.01888087857623466
1,7,3,0.04109638193320572,1.5736046889119848,0.10053035869183591
1,2,4,0.5979310342286077,0.991870190148079,0.4962194794899244
0,6,5,0.5287746783588859,0.16565108197099515,0.6899643571263624
1,4,6,-0.11687312836621294,1.238472005559095,0.33473532657927907
1,7,7,-1.37388911758857,1.1311618632057319,0.6954884591776503
1,8,4,0.9672729750616863,0.024730168309727754,0.698635589431956
1,7,4,1.407230011383635,0.5305992863850642,0.7039359073278308
0,5,6,-1.208590524242342,0.40489064358806776,0.4925218540205084
1,7,3,-1.4112550051696995,1.1068825862563538,0.914886150121504
1,7,4,-0.13679690475734085,0.24351950362619595,0.4891965179806156
1,4,6,-0.6262245956364498,0.893727025197345,0.4502651934966382
1,7,6,0.14494924020545913,2.4442173441697936,0.199380819010627
0,2,3,1.2079940398603866,1.5985097044557224,0.3076550873563365
1,5,2,-2.2456704382724957,2.5441184069287166,0.042334492518303346
1,4,8,1.5812719516191547,3.8399799141206064,0.6335352936161702
0,3,4,-0.40666844187691986,0.010727461016831105,0.24853574392709288
0,3,4,0.5117789786504942,0.9748240573536343,0.3041552544854651
0,6,4,0.6187258381044658,0.5324568982088197,0.7708145216643212
1,4,1,0.7353411541977961,1.9650740413788839,0.3272211831614539
1,6,10,0.061908104029996795,0.29010460709960645,0.24219589201314218
0,3,6,0.29556060178674576,3.9648695641946974,0.16905774913370575
1,4,1,0.2890220506054031,0.9511616399750737,0.7748584021819559
1,5,8,-0.6302828007794473,1.577636007580913,0.12970625799002689
1,6,6,-1.7580551914371976,0.08948667746268846,0.4537537602503535
1,4,3,-1.2191858277651948,0.20267678769223474,0.5069301160771944
0,6,0,-0.10423797949803458,1.4204870159931824,0.6873899126857146
1,7,4,-0.786806656896385,0.022231827896392956,0.6332834823329955
0,5,5,-0.784496072389535,1.697602604565759,0.8107206729451748
1,4,2,1.7992510456861954,0.014047220535551224,0.04475143392623815
1,2,2,0.8588947966598731,1.0703713614170391,0.2964407247793972
1,7,4,-0.2520759659099735,0.4542781969054579,0.28013411877537975
1,2,3,0.672034945655442,0.9454488601481731,0.14601690559210823
0,7,7,-0.42026860559090073,1.1908308953772053,0.28917825385644313
0,5,7,0.11072343418649651,0.41927282618995904,0.3097653141429034
0,7,3,0.44162864841891597,0.11424704875779253,0.5218844619274783
0,6,7,-0.41760596777187864,0.0721899779484894,0.6637044789262561
1,9,1,-0.6852505475370957,0.889006413735262,0.3811005136118141
0,4,2,1.223931818468504,0.7353354282585661,0.7194702313133812
1,6,3,0.6141129671981066,1.3555751028413152,0.33616533857958
